SessionID[b'NjM4MTk='] 2019-04-02 16:26:41,801 : ---[ Start DHCP Tue Apr  2 16:26:41 2019]---
SessionID[b'MzIzNDc='] 2019-04-02 16:28:21,334 : ---[ Start DHCP Tue Apr  2 16:28:21 2019]---
SessionID[b'MzIzNDc='] 2019-04-02 16:28:21,352 : b'Internet Systems Consortium DHCP Server 4.3.5'
SessionID[b'MzIzNDc='] 2019-04-02 16:28:21,354 : b'Copyright 2004-2016 Internet Systems Consortium.'
SessionID[b'MzIzNDc='] 2019-04-02 16:28:21,355 : b'All rights reserved.'
SessionID[b'MzIzNDc='] 2019-04-02 16:28:21,356 : b'For info, please visit https://www.isc.org/software/dhcp/'
SessionID[b'MzIzNDc='] 2019-04-02 16:28:21,374 : b'Config file: /etc/dhcp/dhcpd.conf'
SessionID[b'MzIzNDc='] 2019-04-02 16:28:21,375 : b'Database file: /var/lib/dhcp/dhcpd.leases'
SessionID[b'MzIzNDc='] 2019-04-02 16:28:21,375 : b'PID file: /var/run/dhcpd.pid'
SessionID[b'MzIzNDc='] 2019-04-02 16:28:21,376 : b'Wrote 0 leases to leases file.'
SessionID[b'MzIzNDc='] 2019-04-02 16:28:25,377 : b''
SessionID[b'MzIzNDc='] 2019-04-02 16:28:25,377 : b'No subnet declaration for wlxc83a35cef744 (10.0.0.1).'
SessionID[b'MzIzNDc='] 2019-04-02 16:28:25,377 : b'** Ignoring requests on wlxc83a35cef744.  If this is not what'
SessionID[b'MzIzNDc='] 2019-04-02 16:28:25,377 : b'   you want, please write a subnet declaration'
SessionID[b'MzIzNDc='] 2019-04-02 16:28:25,377 : b'   in your dhcpd.conf file for the network segment'
SessionID[b'MzIzNDc='] 2019-04-02 16:28:25,377 : b'   to which interface wlxc83a35cef744 is attached. **'
SessionID[b'MzIzNDc='] 2019-04-02 16:28:25,377 : b''
SessionID[b'MzIzNDc='] 2019-04-02 16:28:25,377 : b''
SessionID[b'MzIzNDc='] 2019-04-02 16:28:25,377 : b'Not configured to listen on any interfaces!'
SessionID[b'MzIzNDc='] 2019-04-02 16:28:25,377 : b''
SessionID[b'MzIzNDc='] 2019-04-02 16:28:25,377 : b'If you think you have received this message due to a bug rather'
SessionID[b'MzIzNDc='] 2019-04-02 16:28:25,377 : b'than a configuration issue please read the section on submitting'
SessionID[b'MzIzNDc='] 2019-04-02 16:28:25,377 : b'bugs on either our web page at www.isc.org or in the README file'
SessionID[b'MzIzNDc='] 2019-04-02 16:28:25,377 : b'before submitting a bug.  These pages explain the proper'
SessionID[b'MzIzNDc='] 2019-04-02 16:28:25,377 : b'process and the information we find helpful for debugging..'
SessionID[b'MzIzNDc='] 2019-04-02 16:28:25,377 : b''
